240,85,82,82,85,78,90,75,76,76,75,75,71,65,83,89
86,240,75,80,76,73,79,71,76,73,85,89,77,69,84,83
83,76,240,94,83,70,86,77,74,79,79,77,75,71,80,83
81,80,93,240,79,80,88,82,79,84,81,75,71,67,71,91
85,77,83,81,240,76,76,88,83,81,90,82,74,66,70,87
76,71,68,78,74,240,72,71,62,73,75,73,62,61,72,76
95,78,85,89,76,74,240,68,80,89,82,74,65,63,74,81
74,70,76,81,87,72,68,240,81,81,76,75,76,70,94,84
75,74,72,78,80,62,79,80,240,76,84,74,88,78,90,89
76,73,79,84,80,74,88,81,77,240,82,90,73,77,85,255
75,84,77,81,88,75,82,76,85,80,240,73,88,72,81,74
76,89,77,75,82,75,75,76,76,89,74,240,68,67,81,74
71,77,75,72,74,64,66,77,88,73,92,69,240,65,76,71
66,69,71,67,66,62,63,70,79,77,72,66,64,240,82,74
84,84,79,72,69,74,75,95,255,88,82,80,76,82,240,79
89,83,83,90,89,76,81,85,90,82,75,74,71,73,79,240
