240,89,88,78,80,76,92,73,80,75,74,78,70,67,83,92
88,240,76,80,72,78,81,75,77,72,76,88,73,68,80,85
85,77,240,75,76,74,91,91,78,80,78,74,73,72,83,85
78,80,76,240,80,77,82,81,79,79,83,82,68,68,72,93
81,73,76,80,240,74,76,76,87,86,82,81,74,70,68,85
74,77,70,76,73,240,71,70,62,74,76,70,61,61,69,75
94,81,89,81,75,72,240,69,79,84,80,75,65,62,82,86
72,75,90,85,77,71,69,240,76,76,78,75,78,69,86,87
78,76,75,78,87,63,75,76,240,81,95,76,255,73,89,83
75,71,79,79,86,76,86,77,82,240,79,88,75,74,84,85
73,75,78,85,81,77,80,77,255,78,240,74,78,74,79,77
78,90,76,81,80,71,76,76,77,88,74,240,66,68,82,74
70,74,71,69,74,64,65,80,95,75,78,67,240,64,77,71
67,68,71,68,70,62,62,69,74,74,74,68,64,240,78,73
84,81,81,72,67,70,82,88,92,83,80,82,77,78,240,79
92,85,83,91,85,77,86,87,85,85,78,74,71,74,79,240
