240,87,85,81,79,75,91,75,80,75,74,78,69,67,83,0
87,240,77,81,75,76,83,77,80,71,80,96,74,68,79,82
86,77,240,91,79,73,93,80,78,79,82,75,70,74,83,81
81,81,89,240,78,75,81,74,75,87,91,84,68,68,70,84
80,76,79,78,240,78,74,77,87,88,82,83,75,70,67,86
74,76,70,74,76,240,70,69,62,74,73,69,63,60,69,78
94,81,95,81,73,71,240,68,81,84,79,74,64,62,81,84
74,77,80,74,76,70,69,240,78,81,78,74,75,70,90,85
78,79,78,74,86,62,80,77,240,86,93,76,87,75,255,85
76,72,79,83,91,76,84,80,86,240,79,87,75,74,91,85
73,76,82,88,83,74,80,77,255,78,240,73,81,73,80,76
78,255,75,84,83,70,76,74,77,87,74,240,67,70,86,73
70,75,71,69,75,64,65,75,87,75,82,67,240,62,76,71
67,68,72,68,69,61,62,70,76,74,73,69,61,240,77,72
83,82,83,71,67,70,81,93,255,91,80,86,76,77,240,78
95,84,83,86,86,79,85,88,86,85,77,75,70,72,78,240
